manufacturer,model_name,category,screen_size_inches,screen,cpu,cpu_manufacturer,cpu_speed,ram_gb,storage_1_type,storage_1_capacity_gb,storage_2_type,storage_2_capacity_gb,gpu,gpu_manufacturer,os,os_version,weight_kg,screen_resolution,price_euros
Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6,Intel,,8.0,Flash Storage,128.0,,,Intel HD Graphics 6000,,macOS,X,1.35,1440x900,1099.0
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD,256.0,,,AMD Radeon 530,,Windows,10,2.2,1920x1080,800.0
Dell,Latitude 5590,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9,Intel,,8.0,SSD ,256.0,SSD,256.0,Intel UHD Graphics 620,,Windows,10,1.88,1920x1080,1298.0
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,HDD,1000.0,,,Nvidia GeForce 930MX,,Windows,10,2.5,1920x1080,896.0
Chuwi,"LapBook 15.6""",Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44,Intel,,4.0,Flash Storage,64.0,,,Intel HD Graphics,,Windows,10,1.89,1920x1080,244.99
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,1366x768,AMD E-Series E2-6110 1.5,AMD,,2.0,Flash Storage,32.0,,,AMD Radeon R2,,Windows,10,1.65,1366x768,199.0
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5,AMD,,4.0,HDD,500.0,,,AMD Radeon 530,,Windows,10,2.71,1920x1080,439.0
Dell,XPS 13,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8,Intel,,16.0,SSD,512.0,,,Intel UHD Graphics 620,,Windows,10,1.2,3200x1800,1869.0
Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6,Intel,,8.0,Flash Storage,256.0,,,Intel HD Graphics 6000,,macOS,X,1.35,1440x900,998.0
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1,Intel,,4.0,Flash Storage,64.0,,,Intel HD Graphics 500,,Windows,10,1.44,1366x768,249.0
Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7,Intel,,4.0,HDD,1000.0,,,Intel HD Graphics 620,,Linux,,2.1,1366x768,367.0
Dell,Inspiron 5770,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD ,128.0,HDD,1000.0,AMD Radeon 530,,Windows,10,2.8,1920x1080,979.0
HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5,Intel,,4.0,HDD,1000.0,,,Intel HD Graphics 620,,Windows,10,1.86,1366x768,488.69
HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD,256.0,,,Nvidia GeForce 930MX ,,Windows,10,2.1,1920x1080,879.0
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2,Intel,,4.0,HDD,1000.0,,,Intel HD Graphics 620,,Linux,,2.0,1920x1080,389.0
Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,16.0,SSD ,256.0,HDD,1000.0,Nvidia GeForce GTX 1060,,Windows,10,2.65,1920x1080,1499.0
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5,Intel,,8.0,HDD,1000.0,,,Nvidia GeForce 940MX,,Linux,,2.3,1366x768,522.99
Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,4.0,SSD,256.0,,,Intel UHD Graphics 620,,Windows,10,2.2,1920x1080,682.0
Dell,Inspiron 7773,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6,Intel,,12.0,HDD,1000.0,,,Nvidia GeForce 150MX,,Windows,10,2.77,1920x1080,999.0
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0,Intel,,8.0,SSD,256.0,,,Intel Iris Graphics 540,,macOS,X,1.37,2560x1600,1419.0
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2,Intel,,4.0,SSD,128.0,,,Intel HD Graphics 520,,No OS,Version Unknown,2.2,1366x768,369.0
Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3,AMD,,8.0,SSD ,256.0,HDD,1000.0,AMD Radeon RX 580,,Windows,10,3.2,1920x1080,1299.0
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,4.0,SSD,256.0,,,AMD Radeon R5 M430,,Windows,10,2.3,1920x1080,639.0
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1,Intel,,4.0,HDD,1000.0,,,Nvidia GeForce 920MX,,Windows,10,2.8,1366x768,466.0
Lenovo,Yoga Book,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44,Intel,,4.0,Flash Storage,64.0,,,Intel HD Graphics 400,,Android,,0.69,1920x1200,319.0
Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,SSD,256.0,,,Nvidia GeForce MX150,,Windows,10,2.2,1920x1080,841.0
HP,255 G6,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5,AMD,,4.0,SSD,256.0,,,AMD Radeon R4 Graphics,,Windows,10,1.86,1920x1080,398.49
HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,SSD,512.0,,,Intel UHD Graphics 620,,Windows,10,1.49,1920x1080,1103.0
Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4,Intel,,4.0,HDD,1000.0,,,Intel HD Graphics 620,,Windows,10,2.4,1366x768,384.0
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,SSD,256.0,,,AMD Radeon 520,,Windows,10,2.13,1920x1080,767.8
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2,Intel,,4.0,SSD,128.0,,,Intel HD Graphics 520,,Windows,10,1.91,1920x1080,439.0
Asus,VivoBook Max,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5,Intel,,4.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,2.0,1366x768,586.19
MSI,GS73VR 7RG,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,16.0,SSD ,256.0,HDD,2000.0,Nvidia GeForce GTX 1070,,Windows,10,2.43,1920x1080,2449.0
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2,Intel,,4.0,SSD,256.0,,,Intel HD Graphics 520,,Linux,,2.0,1920x1080,415.0
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,16.0,SSD ,256.0,HDD,2000.0,AMD Radeon 530,,Windows,10,2.8,1920x1080,1299.0
Dell,Vostro 5471,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD,256.0,,,Intel UHD Graphics 620,,Windows,10,1.7,1920x1080,879.0
Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,No OS,Version Unknown,1.7,1920x1080,599.0
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD,256.0,,,Intel UHD Graphics 620,,Windows,10,1.4,1920x1080,941.0
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.86,1920x1080,690.0
Asus,ZenBook Pro,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,16.0,SSD,512.0,,,Nvidia GeForce GTX 1050 Ti,,Windows,10,1.8,1920x1080,1983.0
HP,250 G6,Notebook,15.6,1366x768,Intel Core i3 6006U 2,Intel,,4.0,HDD,500.0,,,AMD Radeon 520,,Windows,10,1.86,1366x768,438.69
HP,Stream 14-AX040wm,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6,Intel,,4.0,SSD,32.0,,,Intel HD Graphics 400,,Windows,10,1.44,1366x768,229.0
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,4.0,HDD,1000.0,,,Intel HD Graphics 620,,Windows,10,1.9,1920x1080,549.0
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,12.0,HDD,1000.0,,,Nvidia GeForce GTX 1050 Ti,,Linux,,3.0,1920x1080,949.0
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5,Intel,,4.0,SSD,128.0,,,Intel HD Graphics 620,,Windows,10 S,1.252,2256x1504,1089.0
Dell,Inspiron 5370,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,SSD,256.0,,,AMD Radeon 530,,Windows,10,1.4,1920x1080,955.0
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,SSD,256.0,,,AMD Radeon 530,,Windows,10,2.2,1920x1080,870.0
MSI,GL72M 7RDX,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5,Intel,,8.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce GTX 1050,,Windows,10,2.7,1920x1080,1095.0
Acer,Aspire E5-475,Notebook,14.0,1366x768,Intel Core i3 6006U 2,Intel,,8.0,HDD,1000.0,,,Intel HD Graphics 520,,Windows,10,2.1,1366x768,389.0
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,8.0,HDD,1000.0,,,Nvidia GeForce GTX 1050,,Windows,10,2.2,1920x1080,949.0
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,HDD,2000.0,,,Intel HD Graphics 620,,No OS,Version Unknown,2.2,1920x1080,519.0
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,SSD ,128.0,HDD,1000.0,Intel UHD Graphics 620,,Windows,10,2.02,1920x1080,855.0
Acer,Aspire A515-51G-32MX,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7,Intel,,4.0,HDD,1000.0,,,Nvidia GeForce MX130,,Windows,10,2.2,1920x1080,530.0
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce 930MX,,Windows,10,2.5,1920x1080,977.0
Dell,Latitude 5590,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD,256.0,,,Intel UHD Graphics 620,,Windows,10,1.88,1920x1080,1096.16
Apple,"MacBook 12""",Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3,Intel,,8.0,SSD,512.0,,,Intel HD Graphics 615,,macOS,X,0.92,2304x1440,1510.0
HP,ProBook 440,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.63,1920x1080,860.0
Lenovo,IdeaPad 320-15AST,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5,AMD,,4.0,SSD,128.0,,,AMD R4 Graphics,,Windows,10,2.2,1920x1080,399.0
Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3,AMD,,4.0,HDD,1000.0,,,AMD Radeon R5,,Windows,10,2.1,1366x768,395.0
Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,16.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce GTX 1050 Ti,,Windows,10,2.65,1920x1080,1349.0
HP,Pavilion 15-CK000nv,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,SSD,256.0,,,Nvidia GeForce GTX 940MX,,Windows,10,1.83,1920x1080,699.0
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.96,1920x1080,598.99
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,16.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce GTX 1060,,Windows,10,2.2,1920x1080,1449.0
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,SSD,256.0,,,Intel UHD Graphics 620,,Windows,10,1.21,1920x1080,1649.0
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,Full HD 1920x1080,AMD FX 9830P 3,AMD,,8.0,HDD,1000.0,,,AMD Radeon RX 560,,Windows,10,2.45,1920x1080,699.0
Acer,Aspire 5,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,HDD,1000.0,,,Nvidia GeForce MX150,,Windows,10,2.2,1920x1080,689.0
HP,Probook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,16.0,SSD,512.0,,,Intel UHD Graphics 620,,Windows,10,1.49,1920x1080,1197.0
Dell,Inspiron 7577,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5,Intel,,8.0,SSD,256.0,,,Nvidia GeForce GTX 1060,,Windows,10,2.65,1920x1080,1195.0
Asus,Zenbook UX430UA,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.25,1920x1080,1049.0
Acer,Spin 5,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD,256.0,,,Intel UHD Graphics 620,,Windows,10,1.5,1920x1080,847.0
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,HDD,1000.0,,,AMD Radeon R5 M430,,Linux,,2.2,1920x1080,599.9
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2,Intel,,4.0,SSD,256.0,,,AMD Radeon R5 M430,,Linux,,2.2,1920x1080,485.0
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4,Intel,,6.0,SSD,256.0,,,Nvidia GeForce 920M,,Windows,10,2.0,1920x1080,577.0
HP,Omen 15-ce007nv,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,12.0,SSD ,128.0,HDD,1000.0,Nvidia GeForce GTX 1050,,Windows,10,2.62,1920x1080,1249.0
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,SSD,256.0,,,AMD Radeon 530,,Windows,10,1.91,1920x1080,719.0
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,Full HD 1920x1080,AMD E-Series E2-9000e 1.5,AMD,,4.0,HDD,500.0,,,AMD Radeon R2,,Windows,10,2.1,1920x1080,349.0
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,HDD,1000.0,,,AMD Radeon 520,,Linux,,2.2,1920x1080,647.0
HP,Envy 13-ad009n,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,SSD,256.0,,,Nvidia GeForce MX150,,Windows,10,1.38,1920x1080,1119.0
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10 S,1.252,2256x1504,1340.0
HP,Pavilion 14-BK001nv,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,6.0,SSD,256.0,,,Nvidia GeForce 940MX,,Windows,10,1.58,1920x1080,659.0
Lenovo,Ideapad 310-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2,Intel,,4.0,HDD,1000.0,,,Intel HD Graphics 520,,Windows,10,1.85,1920x1080,414.9
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,SSD,256.0,,,Nvidia GeForce 940MX,,Windows,10,1.3,1920x1080,1193.0
MSI,GP62M 7REX,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,16.0,SSD ,256.0,HDD,1000.0,Nvidia GeForce GTX 1050 Ti,,Windows,10,2.2,1920x1080,1299.0
Lenovo,Thinkpad T470,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.58,1920x1080,1480.0
Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,16.0,SSD ,256.0,HDD,1000.0,Nvidia GeForce MX150,,Windows,10,1.5,1920x1080,1262.0
Dell,XPS 13,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7560U 2.4,Intel,,8.0,SSD,256.0,,,Intel Iris Plus Graphics 640,,Windows,10,1.23,3200x1800,1379.0
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Intel HD Graphics 620,,Windows,10,1.37,1920x1080,1399.0
HP,Probook 440,Notebook,14.0,IPS Panel 1366x768,Intel Core i5 8250U 1.6,Intel,,4.0,HDD,500.0,,,Intel UHD Graphics 620,,Windows,10,1.63,1366x768,722.0
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD,256.0,,,Intel UHD Graphics 620,,Windows,10,1.21,1920x1080,1629.0
HP,Spectre x360,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6,Intel,,8.0,SSD,256.0,,,Intel UHD Graphics 620,,Windows,10,1.26,1920x1080,1398.99
HP,Probook 440,Notebook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,SSD,512.0,,,Intel UHD Graphics 620,,Windows,10,1.63,1920x1080,1084.0
Dell,Inspiron 7570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,SSD ,256.0,HDD,1000.0,Nvidia GeForce 940MX,,Windows,10,2.16,1920x1080,1130.33
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,Full HD 1920x1080,Intel Core i3 6006U 2,Intel,,4.0,HDD,1000.0,,,Nvidia GeForce 920MX,,Windows,10,2.0,1920x1080,564.0
Asus,VivoBook S15,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,8.0,SSD,256.0,,,Nvidia GeForce 940MX,,Windows,10,1.7,1920x1080,1118.0
Acer,Spin 3,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4,Intel,,6.0,HDD,1000.0,,,Intel HD Graphics 620,,Windows,10,2.1,1920x1080,479.0
MSI,GS63VR 7RG,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8,Intel,,16.0,SSD ,256.0,HDD,2000.0,Nvidia GeForce GTX 1070,,Windows,10,1.8,1920x1080,2241.5
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5,Intel,,8.0,SSD,256.0,,,Nvidia GeForce 940MX,,No OS,Version Unknown,2.2,1920x1080,629.0
HP,Probook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8,Intel,,16.0,SSD,512.0,,,Nvidia GeForce 930MX ,,Windows,10,2.5,1920x1080,1271.0
Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3,AMD,,4.0,SSD,256.0,,,AMD Radeon R5,,Windows,10,2.1,1366x768,451.0
HP,250 G6,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6,Intel,,4.0,HDD,500.0,,,Intel HD Graphics 400,,No OS,Version Unknown,1.86,1366x768,259.0
